path1_bw,path1_loss,path1_delay,path2_bw,path2_loss,path2_delay,scheduler_name,no_of_itr,file_size,time,p1_data,p2_data
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,24.5879,46612.0,20164.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,30.2275,50920.0,15852.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,30.3736,53220.0,13548.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,32.0589,54364.0,12408.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,29.3325,51760.0,15024.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,31.2016,51472.0,15304.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,31.0558,54140.0,12624.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,30.0491,52612.0,14164.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,31.1829,52836.0,13936.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,33.7848,53836.0,12936.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,28.6955,51648.0,15124.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,30.9800,52568.0,14208.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,28.1325,54176.0,12592.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,31.0738,53684.0,13088.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,32.0540,52344.0,14428.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,29.7921,53344.0,13428.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,25.5481,54936.0,11836.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,28.6331,49816.0,16956.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,24.6581,48656.0,18120.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,29.4345,52720.0,14052.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,26.0280,50168.0,16608.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,30.8600,53612.0,13164.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,22.3136,47868.0,18908.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,30.6321,53592.0,13180.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,31.2447,50928.0,15844.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,28.2811,51748.0,15032.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,25.9576,48544.0,18232.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,23.0188,45884.0,20896.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,29.0916,50320.0,16452.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,28.2448,55196.0,11576.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,30.4974,53500.0,13268.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,24.2588,50480.0,16296.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,25.5079,43968.0,22812.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,26.8737,56692.0,10084.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,23.5651,49276.0,17500.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,28.5420,53076.0,13692.0
