path1_bw,path1_loss,path1_delay,path2_bw,path2_loss,path2_delay,scheduler_name,no_of_itr,file_size,time,p1_data,p2_data
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,69.0504,53260.0,13524.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,64.1984,52532.0,14248.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,65.2775,52680.0,14100.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,61.1011,53264.0,13516.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,70.2884,52364.0,14420.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,62.3513,52724.0,14056.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,59.7759,49988.0,16796.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,62.4533,53436.0,13344.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,62.5869,53476.0,13300.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,65.2756,52936.0,13848.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,65.4402,52020.0,14756.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,64.2371,52472.0,14308.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,67.7244,52852.0,13996.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,69.3244,52408.0,14340.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,70.1783,52856.0,13940.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,66.8416,53428.0,13316.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,56.1790,49488.0,17300.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,65.7124,52960.0,13784.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,66.0957,53564.0,13232.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,66.5418,52892.0,13920.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,62.1081,51536.0,15260.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,67.9590,53580.0,13204.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,66.6198,53096.0,13688.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,66.9184,53500.0,13284.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,63.2795,52444.0,14336.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,67.8654,53424.0,13364.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,65.7846,53592.0,13160.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,62.2713,51120.0,15660.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,58.6611,54136.0,12648.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,66.4726,53016.0,13768.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,67.2509,53996.0,12752.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,65.0036,52204.0,14576.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,67.5153,52892.0,13888.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,69.7255,53432.0,13320.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,64.9161,53588.0,13188.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,70.2739,53648.0,13140.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,70.3414,52660.0,14124.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,62.0746,52412.0,14372.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,62.9672,54232.0,12548.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,67.7422,52944.0,13840.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,67.3456,53512.0,13236.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,69.3396,53172.0,13616.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,68.7186,52768.0,14012.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,69.2850,53568.0,13184.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,64.6171,53252.0,13532.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,67.2350,52996.0,13784.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,62.8935,54192.0,12592.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,67.6634,53396.0,13384.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,68.1776,52744.0,14088.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,67.5077,54328.0,12464.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,67.1318,53704.0,13048.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,67.1747,53968.0,12820.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,66.5529,53716.0,13068.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,66.2341,53056.0,13728.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,62.2948,52404.0,14376.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,58.1356,50300.0,16480.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,68.2984,54656.0,12096.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,62.4346,54196.0,12592.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,56.8864,51008.0,15772.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,peekaboo,50,64MB,70.2269,53172.0,13616.0
